id,fecha,iniciador,objetivo,provincia,fuente
533,2016-11-07,Oposicion,ISIS,Aleppo,SOHR
534,2016-06-08,Kurdistan Sirio,ISIS,Aleppo,Twitter
535,2016-10-05,Oposicion,ISIS,Aleppo,Media
536,2015-12-27,Kurdistan Sirio,Oposicion,Aleppo,Twitter
537,2015-04-13,Kurdistan Sirio,ISIS,Aleppo,Media
538,2015-06-21,Kurdistan Sirio,ISIS,Raqqa,Media
539,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,Media
540,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
541,2015-02-24,Kurdistan Sirio,ISIS,Hasakeh,Media
542,2015-06-12,Kurdistan Sirio,ISIS,Raqqa,Media
543,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
544,2016-02-08,Kurdistan Sirio,Oposicion,Aleppo,SOHR
545,2015-05-25,Kurdistan Sirio,ISIS,Raqqa,Twitter
546,2015-06-21,Kurdistan Sirio,ISIS,Raqqa,Media
547,2014-12-19,Kurdistan Sirio,ISIS,Hasakeh,Media
548,2016-06-01,Kurdistan Sirio,ISIS,Aleppo,Twitter
549,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
550,2016-09-29,CJTF-OIR,ISIS,Aleppo,SOHR
551,2016-06-08,Oposicion,ISIS,Aleppo,Twitter
552,2015-04-11,Kurdistan Sirio,ISIS,Aleppo,Media
553,2016-09-29,CJTF-OIR,ISIS,Aleppo,SOHR
554,2015-03-09,Kurdistan Sirio,ISIS,Aleppo,SOHR
555,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
556,2015-04-30,Kurdistan Sirio,ISIS,Aleppo,Media
557,2015-06-18,Kurdistan Sirio,ISIS,Raqqa,SOHR
558,2016-06-07,Kurdistan Sirio,ISIS,Aleppo,Twitter
559,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,Media
560,2016-10-11,Oposicion,ISIS,Aleppo,Twitter
561,2016-10-12,CJTF-OIR,ISIS,Aleppo,SOHR
562,2016-10-16,Oposicion,ISIS,Aleppo,Twitter
563,2015-05-06,Kurdistan Sirio,ISIS,Aleppo,Media
564,2015-06-11,Kurdistan Sirio,ISIS,Raqqa,SOHR
565,2015-02-24,Kurdistan Sirio,ISIS,Hasakeh,SOHR
566,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
567,2016-11-07,Oposicion,ISIS,Aleppo,SOHR
568,2016-06-07,Kurdistan Sirio,ISIS,Aleppo,Twitter
569,2016-06-19,Kurdistan Sirio,ISIS,Aleppo,Twitter
570,2016-10-11,Oposicion,ISIS,Aleppo,Twitter
571,2015-05-31,Kurdistan Sirio,ISIS,Raqqa,Media
572,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
573,2016-06-07,Kurdistan Sirio,ISIS,Aleppo,Twitter
574,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
575,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
576,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
577,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,Media
578,2016-09-04,Oposicion,ISIS,Aleppo,Facebook
